!EXCLAMATION-POINT	ˌɛkskləmˈeɪʃənpˌɔɪnt
#HASH-MARK	hˈæmˌɑːrk
#POUND-SIGN	pˈaʊndsˌaɪn
#SHARP-SIGN	ʃˈɑːrpsˌaɪn
%PERCENT	pɝsˈɛnt
&AMPERSAND	ˈæmpɝsˌænd
OLGA	ˈoʊlgə
OLGUIN	ˈoʊlgɪn
OLICK	ˈoʊlɪk
OLIFF	ˈɑːlɪf
OLIGARCH	ˈoʊlɪgˌɑːrk
OLIGARCHS	ˈoʊlɪgˌɑːrks
OLIGARCHY	ˈɑːləgˌɑːrki
OLIGER	ˈɑːlɪgɝ
OLIGOCENE	ˈɑːləgoʊsˌiːn
OLIGOPOLISTIC	oʊlˌɪgəpoʊlˈɪstɪk
OLIGOPOLY	ˌɑːlɪgˈɑːpəli
OLIN	ˈoʊlɪn
OLIN'S	ˈoʊlɪnz
OLINDA	oʊlˈiːndə
OLINDE	ˈɑːlɪnd
OLINGER	ˈɑːlɪŋɝ
OLIPHANT	ˈɑːlɪfənt
OLIVA	oʊlˈiːvə
OLIVARES	oʊliːvˈɑːrɛs
OLIVAREZ	oʊliːvˈɑːrɛz
OLIVAS	oʊlˈiːvɑːz
OLIVE	ˈɑːlɪv
OLIVEIRA	ˌɑːlɪvˈeɪrə
OLIVER	ˈɑːlɪvɝ
OLIVER'S	ˈɑːlɪvɝz
OLIVERA	oʊliːvˈɛrə
OLIVERAS	oʊliːvˈɛrɑːz
OLIVERI	oʊliːvˈɛri
OLIVERIA	ˌɑːlɪvˈiːriːə
OLIVERIO	ˌɑːlɪvˈiːriːoʊ
OLIVERO	oʊliːvˈɛroʊ
OLIVEROS	oʊliːvˈɛroʊz
OLIVES	ˈɑːlɪvz
OLIVETO	oʊliːvˈeɪtoʊ
OLIVETTE	ˈɑːlɪvˈɛt
OLIVETTI	ˌɑːlɪvˈɛti
OLIVETTI'S	ˌɑːlɪvˈɛtiːz
OLIVIA	oʊlˈɪviːə
OLIVIA'S	oʊlˈɪviːəz
OLIVIER	ˌoʊlˈɪvˌiːˌeɪ
OLIVIERI	oʊliːvˈɪri
OLIVINE	ˈɑːləvˌiːn
OLIVO	ɔlˈiːvoʊ
OLIWA	oʊlˈiːwə
OLK	ˈoʊk
OLK(1)	ˈoʊlk
OLKOWSKI	oʊlkˈɔfski
OLKOWSKI'S	oʊlkˈɔfskiːz
OLLAR	ˈɑːlɝ
OLLER	ˈɑːlɝ
OLLEY	ˈɑːli
OLLIE	ˈɑːli
OLLIE(1)	ˈoʊli
OLLIE'S	ˈɑːliːz
OLLIE'S(1)	ˈoʊliːz
OLLIFF	ˈɑːlɪf
OLLILA	ˈɑːlɪlə
OLLINGER	ˈɑːlɪŋɝ
OLLINGER'S	ˈɑːlɪŋɝz
OLLIS	ˈɔliːz
OLLISON	ˈɑːlɪsən
OLLISON'S	ˈɑːlɪsənz
OLLY	ˈɑːli
OLMEDA	oʊlmˈeɪdə
OLMEDO	oʊlmˈeɪdoʊ
OLMERT	oʊlmɝt
OLMO	ˈoʊlmoʊ
OLMOS	ˈoʊlmoʊz
OLMSTEAD	ˈoʊlmstˌɛd
OLMSTEAD'S	ˈoʊlmstˌɛdz
OLNEY	ˈoʊlni
OLOF	ˈoʊlɔf
OLOF'S	ˈoʊlɔfs
OLOFSON	ˈɑːləfsən
OLOFSON'S	ˈɑːləfsənz
OLOKUEI	ˌoʊloʊkˈuːi
OLOKUEI'S	ˌoʊloʊkˈuːiːz
OLOUGHLIN	oʊlˈaʊklɪn
OLOVO	əlˈɔvoʊ
OLSDAT	ˈoʊlzdæt
OLSEN	ˈoʊlsən
OLSEN'S	ˈoʊlsənz
OLSHAN	ˈoʊlʃən
OLSHANSKY	ˈoʊlʃənski
OLSHANSKY'S	ˈoʊlʃənskiːz
OLSHEFSKI	oʊlʃˈɛfski
OLSHEFSKI'S	oʊlʃˈɛfskiːz
OLSHER	ˈoʊlʃɝ
OLSON	ˈoʊlsən
OLSON'S	ˈoʊlsənz
OLSSON	ˈoʊlsən
OLSTAD	ˈoʊlstəd
OLSTEN	ˈoʊlstən
OLSZEWSKI	oʊlʃˈɛfski
OLT	ˈoʊlt
OLTHOFF	ˈoʊlthˌɔf
OLTMAN	ˈoʊltmən
OLTMANN	ˈoʊltmən
OLTMANNS	ˈoʊltmənz
OLUND	ˈɑːlənd
OLVA	ˈoʊlvə
OLVER	ˈoʊlvɝ
OLVERA	oʊlvˈɛrə
OLVEY	ˈoʊlvi
OLYMPIA	oʊlˈɪmpiːə
OLYMPIA'S	oʊlˈɪmpiːəz
OLYMPIAD	oʊlˈɪmpiːˌæd
OLYMPIADS	oʊlˈɪmpiːˌæd
OLYMPIAN	oʊlˈɪmpiːən
OLYMPIANS	oʊlˈɪmpiːənz
OLYMPIAS	oʊlˈɪmpiːəs
OLYMPIC	oʊlˈɪmpɪk
OLYMPIC'S	oʊlˈɪmpɪks
OLYMPICS	oʊlˈɪmpɪks
OLYMPICS'	oʊlˈɪmpɪks
OLYMPUS	oʊlˈɪmpəs
OLYMPUS'	oʊlˈɪmpəs
OM	ˈɔm
OMA	ˈoʊmə
OMAAR	ˈoʊmɑːr
OMAHA	ˈoʊməhˌɑː
OMAHA'S	ˈoʊməhˌɑːz
OMAHONEY	oʊməhˈoʊni
OMAHONY	oʊməhˈoʊni
OMALLEY	oʊmˈæli
OMAN	oʊmˈɑːn
OMANI	oʊmˈɑːni
OMANS	oʊmˈɑːnz
OMAR	ˈoʊmɑːr
OMARA	oʊmˈɑːrə
OMARSKA	oʊmˈɑːrskə
OMARY	əmˈɛri
OMBUDSMAN	ˈɑːmbədzmən
OMDAHL	ˈɑːmdˌɑːl
OMEAD	oʊmˈiːd
OMEARA	oʊmˈiːrə
OMEARA(1)	ˌoʊmˈɑːrə
OMEGA	oʊmˈɛgə
OMEGA(1)	oʊmˈeɪgə
OMELET	ˈɑːmlət
OMELETS	ˈɑːmləts
OMELIA	oʊmˈɛliːə
OMEN	ˈoʊmən
OMENS	ˈoʊmənz
OMER	ˈoʊmɝ
OMINOUS	ˈɑːmənəs
OMINOUSLY	ˈɑːmənəsli
OMISSION	oʊmˈɪʃən
OMISSIONS	oʊmˈɪʃənz
OMIT	oʊmˈɪt
OMITS	oʊmˈɪts
OMITTED	oʊmˈɪtəd
OMITTED(1)	oʊmˈɪtɪd
OMITTING	oʊmˈɪtɪŋ
OMLOR	ˈɑːmlɝ
OMMEN	ˈɑːmən
OMMEN(1)	ˈoʊmən
OMNI	ˈɑːmni
OMNIBANK	ˈɑːmnɪbˌæŋk
OMNIBOOK	ˈɑːmnɪbˌʊk
OMNIBUS	ˈɑːmnəbəs
OMNIBUSES	ˈɑːmnəbəsəz
OMNICARE	ˈɑːmnɪkˌɛr
OMNICOM	ˈɑːmnɪkɑːm
OMNICOM'S	ˈɑːmnɪkɑːmz
OMNIPOTENCE	ɑːmnˈɪpətəns
OMNIPOTENT	ɑːmnˈɪpətənt
OMNIPRESENCE	ˌɑːmnəprˈɛzəns
OMNIPRESENT	ˌɑːmnɪprˈɛzənt
OMNISCIENT	ɑːmnˈɪʃənt
OMNIVOROUS	ɑːmnˈɪvɝəs
OMOHUNDRO	oʊmoʊhˈuːndroʊ
OMONIA	əmˈoʊniːə
OMONIA(1)	ˈoʊmoʊnjə
OMORI	oʊmˈɔri
OMRON	ˈɑːmrən
ON	ˈɑːn
ON(1)	ˈɔn
ON-LINE	ˈɔnlˌaɪn
ON-SCREEN	ˈɑːnskrˌiːn
ONA	ənˈɑː
ONAGERS	ˈɑːnədʒɝz
ONAN	ˈoʊnən
ONASSIS	oʊnˈæsɪs
ONASSIS(1)	oʊnˈɑːsɪs
ONASSIS'	oʊnˈæsɪs
ONASSIS'(1)	oʊnˈɑːsɪs
ONASSIS'S	oʊnˈæsɪsɪs
ONASSIS'S(1)	oʊnˈɑːsɪsɪs
ONATE	ˈoʊneɪt
ONAWA	oʊnˈɑːwə
ONBOARD	ˈɑːnbˌɔrd
ONCALE	oʊnkˈɑːli
ONCE	wˈʌns
ONCOGEN	ˈɑːŋkoʊdʒən
ONCOGENE	ˈɑːŋkoʊdʒˌiːn
ONCOGENES	ɑːŋkˈɑːdʒˌɛniːs
ONCOLOGIST	ɑːŋkˈɑːlədʒɪst
ONCOLOGISTS	ɑːŋkˈɑːlədʒɪsts
ONCOLOGY	ɑːŋkˈɑːlədʒi
ONCOMING	ˈɔnkˌəmɪŋ
ONCOR	ˈɑːnkˌɔr
ONDAATJE	ɑːndˈɑːtjə
ONDER	ˈɑːndɝ
ONDERDONK	ˈɑːndɝdəŋk
ONDO	ˈɔndoʊ
ONDRACEK	ˈɑːndrəsɛk
ONE	wˈʌn
ONE(1)	hwˈʌn
ONE'S	wˈʌnz
ONE-EYED	wˌənˈaɪd
ONE-LEGGED	wˌənlˈɛgəd
ONE-MAN	wˌəmˈæn
ONE-NIGHT	wˌənˈaɪt
ONE-OFF	wˌənˈɔf
ONE-ON-ONE	wˌənɔnwˈʌn
ONE-SIDED	wˌənsˈaɪdəd
ONE-THIRD	wˌənθˈɝːd
ONE-TIME	wˈʌtˌaɪm
ONE-UP-MANSHIP	wˌənˈʌpmænʃˌɪp
ONE-UPMANSHIP	wˌənˈʌpmænʃˌɪp
ONE-WAY	wˈʌnwˈeɪ
ONE-YEAR	wˈʌnjˌɪr
ONEAL	oʊnˈiːl
ONEALL	ˈɑːnəl
ONECOMM	wˈʌnkˌɑːm
ONEIDA	oʊnˈaɪdə
ONEIL	oʊnˈiːl
ONEILL	oʊnˈiːl
ONENESS	wˈʌnnəs
ONENESS(1)	wˈʌnəs
ONEOK	ˈoʊniːɑːk
ONEROUS	ˈoʊnɝəs
ONES	wˈʌnz
ONES'	wˈʌnz
ONESELF	wˌənsˈɛlf
ONETIME	wˈʌntˈaɪm
ONEX	wˈʌnˈɛks
ONEX'S	wˈʌnˈɛksɪz
ONEY	ˈoʊni
ONEYEAR	wˈʌnjˈɪr
ONG	ˈɔŋ
ONGOING	ˈɑːngˌoʊɪŋ
ONGOING(1)	ˈɔngˌoʊɪŋ
ONGPIN	ˈɔŋpɪn
ONION	ˈʌnjən
ONIONS	ˈʌnjənz
ONISHI	oʊnˈiːʃi
ONKEN	ˈɑːŋkən
ONLEY	ˈɑːnli
ONLINE	ˈɔnlˌaɪn
ONLINE'S	ˈɔnlˌaɪnz
ONLOOKER	ˈɔnlˌʊkɝ
ONLOOKERS	ˈɔnlˌʊkɝz
ONLY	ˈoʊnli
ONNEN	ˈɑːnən
ONNI	ˈɑːni
ONNO	ˈɑːnoʊ
ONO	ˈoʊnoʊ
ONODA	oʊnˈoʊdə
ONOFRE	oʊnˈɔfri
ONOFRIO	oʊnˈoʊfriːoʊ
ONOMASTIC	ˌɑːnəmˈæstɪk
ONOMASTICS	ˌɑːnəmˈæstɪks
ONOMATOPEIA	ˌɑːnəmætəpˈiːə
ONONDAGA	ˌɑːnəndˈɔgə
ONORATO	oʊnɔrˈɑːtoʊ
ONRUSHING	ˈɑːnrˌəʃɪŋ
ONS	ˈɑːnz
ONSCREEN	ˌɑːnskrˈiːn
ONSET	ˈɑːnsˌɛt
ONSET(1)	ˈɔnsˌɛt
ONSHORE	ˈɑːnʃˌɔr
ONSITE	ˈɑːnsˈaɪt
ONSLAUGHT	ˈɔnslˌɔt
ONSLOW	ˈɑːnsloʊ
ONSTAD	ˈɑːnstəd
ONSTAGE	ˌɑːnstˈeɪdʒ
ONSTOTT	ˈɑːnstət
ONTARIO	ɑːntˈɛriːoʊ
ONTARIO'S	ɑːntˈɛriːoʊz
ONTIVEROS	oʊntiːvˈɛroʊz
ONTKO	ˈɑːntkoʊ
ONTO	ˈɑːntuː
ONTO(1)	ˈɔntuː
ONTOGENY	ɑːntˈɑːdʒəni
ONTOLOGICAL	ˌɑːntəlˈɑːdʒɪkəl
ONTOLOGY	ɑːntˈɑːlədʒi
ONUS	ˈoʊnəs
ONWARD	ˈɔnwɝd
ONWARDS	ˈɑːnwɝdz
ONYX	ˈɑːnɪks
OODLE	ˈuːdəl
OODLES	ˈuːdəlz
OOH	ˈuː
OOHS	ˈuːz
OOLEY	ˈuːli
OOLONG	ˈuːlɔŋ
OOMPH	ˈuːmf
OONA	ˈuːnə
OOOH	ˈuː
OOOHS	ˈuːz
OOOHS(1)	ˈoʊz
OOP	ˈuːp
OOPH	ˈuːf
OOPS	ˈuːps
OOTEN	ˈuːtən
OOZE	ˈuːz
OOZED	ˈuːzd
OOZES	ˈuːzɪz
OOZING	ˈuːzɪŋ
OP	ˈɑːp
OP(1)	ˈɔp
OP'S	ˈɑːps
OPACITY	oʊpˈæsəti
OPAL	ˈoʊpəl
OPAL'S	ˈoʊpəlz
OPALINA	oʊpɑːlˈiːnə
OPALINE	ˈoʊpəlˌiːn
OPALINES	ˈoʊpəlˌiːnz
OPALKA	əpˈɑːlkə
OPAQUE	oʊpˈeɪk
OPAX	ˈoʊpˌæks
OPCOM	ˈɑːpkɑːm
OPDAHL	ˈɑːpdˌɑːl
OPDYKE	ˈɑːpdˌaɪk
OPEC	ˈoʊpˌɛk
OPEC'S	ˈoʊpˌɛks
OPEL	ˈoʊpəl
OPEL'S	ˈoʊpəlz
OPEN	ˈoʊpən
OPEN-ENDED	ˈoʊpənˌɛndəd
OPEN-SOURCE	ˈoʊpənsˌɔrs
OPENED	ˈoʊpənd
OPENER	ˈoʊpənɝ
OPENERS	ˈoʊpənɝz
OPENING	ˈoʊpənɪŋ
OPENINGS	ˈoʊpənɪŋz
OPENLY	ˈoʊpənli
OPENNESS	ˈoʊpənɛs
OPENNESS(1)	ˈoʊpənnɛs
OPENS	ˈoʊpənz
OPENSHAW	ˈoʊpənʃˌɔ
OPENWORK	ˈoʊpənwˌɝːk
OPERA	ˈɑːprə
OPERA'S	ˈɑːprəz
OPERABLE	ˈɑːpɝəbəl
OPERAN	ˈɑːpɝən
OPERANDI	ˌɑːpɝˈændi
OPERANDI(1)	ˌɑːpɝˈændaɪ
OPERANDI(2)	ˌɑːpɝˈɛndaɪ
OPERANT	ˈɑːpɝənt
OPERAS	ˈɑːprəz
OPERATE	ˈɑːpɝˌeɪt
OPERATE(1)	ˈɔpɝˌeɪt
OPERATED	ˈɑːpɝˌeɪtəd
OPERATES	ˈɑːpɝˌeɪts
OPERATIC	ˌɑːpɝˈætɪk
OPERATING	ˈɑːpɝˌeɪtɪŋ
OPERATING(1)	ˈɔpɝˌeɪtɪŋ
OPERATION	ˌɑːpɝˈeɪʃən
OPERATION'S	ˌɑːpɝˈeɪʃənz
OPERATIONAL	ˌɑːpɝˈeɪʃənəl
OPERATIONALLY	ˈɑːpɝˈeɪʃənəli
OPERATIONALLY(1)	ˈɑːpɝˈeɪʃnəli
OPERATIONS	ˌɑːpɝˈeɪʃənz
OPERATIONS'	ˌɑːpɝˈeɪʃənz
OPERATIVE	ˈɑːpərətɪv
OPERATIVES	ˈɑːpərətɪvz
OPERATOR	ˈɑːpɝˌeɪtɝ
OPERATOR'S	ˈɑːpɝˌeɪtɝz
OPERATORS	ˈɑːpɝˌeɪtɝz
OPERATORS(1)	ˈɔpɝˌeɪtɝz
OPERATORS'	ˈɔpɝˌeɪtɝz
OPERE	oʊpˈɛr
OPERETTA	ˌɑːpɝˈɛtə
OPERETTAS	ˌɑːpɝˈɛtəz
OPFER	ˈɑːpfɝ
OPHEIM	ˈɑːphˌaɪm
OPHELIA	əfˈiːljə
OPHTHALMIC	ɑːfθˈælmɪk
OPHTHALMOLOGIST	ˌɑːfθəmˈɑːlədʒɪst
OPHTHALMOLOGIST(1)	ˌɑːpθəmˈɑːlədʒɪst
OPHTHALMOLOGISTS	ˌɑːfθəmˈɑːlədʒɪsts
OPHTHALMOLOGISTS(1)	ˌɑːpθəmˈɑːlədʒɪsts
OPHTHALMOLOGY	ˌɑːfθəmˈɑːlədʒi
OPHTHALMOLOGY(1)	ˌɑːpθəmˈɑːlədʒi
OPHTHALMOSCOPE	ɑːfθˈælməskˌoʊp
OPHULS	ˈoʊfuːlz
OPIATE	ˈoʊpˌiːət
OPIATES	ˈoʊpˌiːəts
OPIC	ˈɑːpɪk
OPIC'S	ˈɑːpɪks
OPIE	ˈoʊpˌiː
OPIELA	ˌoʊpˈiːˌɛlə
OPINE	oʊpˈaɪn
OPINED	oʊpˈaɪnd
OPINES	oʊpˈaɪnz
OPINING	oʊpˈaɪnɪŋ
OPINION	əpˈɪnjən
OPINIONATE	əpˈɪnjənˌeɪt
OPINIONATED	əpˈɪnjənˌeɪtɪd
OPINIONS	əpˈɪnjənz
OPITZ	ˈɑːpɪts
OPIUM	ˈoʊpiːəm
OPLAND	ˈɑːplənd
OPLE	ˈoʊpəl
OPLINGER	ˈoʊpəlɪŋɝ
OPLINGER(1)	ˈoʊplɪŋɝ
OPOSSUM	oʊpˈɑːsəm
OPP	ˈɑːp
OPPEDISANO	oʊpɛdiːsˈɑːnoʊ
OPPEL	ˈɑːpəl
OPPELT	ˈɑːpɪlt
OPPENHEIM	ˈɑːpɪnhˌaɪm
OPPENHEIMER	ˈɑːpənhˌaɪmɝ
OPPENHEIMER'S	ˈɑːpənhˌaɪmɝz
OPPENHEIMERS	ˈɑːpənhˌaɪmɝz
OPPENS	ˈɑːpənz
OPPER	ˈɑːpɝ
OPPERMAN	ˈɑːpɝmən
OPPERMANN	ˈɑːpɝmən
OPPLER	ˈɔplɝ
OPPLIGER	ˈɑːplɪgɝ
OPPONENT	əpˈoʊnənt
OPPONENT'S	əpˈoʊnənts
OPPONENTS	əpˈoʊnənts
OPPONENTS'	əpˈoʊnənts
OPPORTUNE	ˌɑːpɝtˈuːn
OPPORTUNISM	ˌɑːpɝtˈuːnˌɪzəm
OPPORTUNIST	ˌɑːpɝtˈuːnɪst
OPPORTUNISTIC	ˌɑːpɝtˌuːnˈɪstɪk
OPPORTUNISTS	ˌɑːpɝtˈuːnɪsts
OPPORTUNITIES	ˌɑːpɝtˈuːnətiːz
OPPORTUNITY	ˌɑːpɝtˈuːnəti
OPPOSE	əpˈoʊz
OPPOSED	əpˈoʊzd
OPPOSES	əpˈoʊzɪz
OPPOSING	əpˈoʊzɪŋ
OPPOSITE	ˈɑːpəzɪt
OPPOSITES	ˈɑːpəzɪts
OPPOSITION	ˌɑːpəzˈɪʃən
OPPOSITION'S	ˌɑːpəzˈɪʃənz
OPPOSITIONS	ˌɑːpəzˈɪʃənz
OPPRESS	əprˈɛs
OPPRESSED	əprˈɛst
OPPRESSES	əprˈɛsɪz
OPPRESSING	əprˈɛsɪŋ
OPPRESSION	əprˈɛʃən
OPPRESSIONS	əprˈɛʃənz
OPPRESSIVE	əprˈɛsɪv
OPPRESSOR	əprˈɛsɝ
OPPRESSORS	əprˈɛsɝz
OPPROBRIUM	əprˈoʊbriːəm
OPRAH	ˈoʊprə
OPRAH'S	ˈoʊprəz
OPRY	ˈɑːpri
OPRYLAND	ˈɑːpriːlənd
OPS	ˈɑːps
OPSAHL	ˈɑːpsɑːl
OPSAL	ˈɑːpsəl
OPT	ˈɑːpt
OPTATION	ˈɑːptˈeɪʃən
OPTED	ˈɑːptɪd
OPTEK	ˈɑːptˌɛk
OPTHALMOLOGIST	ˌɑːfθəlmˈɑːlədʒɪst
OPTHALMOLOGY	ˌɑːfθəlmˈɔlədʒi
OPTIC	ˈɑːptɪk
OPTICA	ˈɑːptɪkə
OPTICAL	ˈɑːptɪkəl
OPTICAL'S	ˈɑːptɪkəlz
OPTICALLY	ˈɑːptɪkli
OPTICIAN	ɑːptˈɪʃən
OPTICIANS	ɑːptˈɪʃənz
OPTICS	ˈɑːptɪks
OPTIMA	ˈɑːptɪmə
OPTIMAL	ˈɑːptɪməl
OPTIMISM	ˈɑːptɪmˌɪzəm
OPTIMIST	ˈɑːptɪmɪst
OPTIMISTIC	ˌɑːptɪmˈɪstɪk
OPTIMISTICALLY	ˌɑːptɪmˈɪstɪkəli
OPTIMISTICALLY(1)	ˌɑːptɪmˈɪstɪkli
OPTIMISTS	ˈɑːptɪmˌɪsts
OPTIMIZATION	ɑːptɪmɪzˈeɪʃən
OPTIMIZE	ˈɑːptɪmˌaɪz
OPTIMUM	ˈɑːptɪməm
OPTIMUS	ˈɑːptɪməs
OPTING	ˈɑːptɪŋ
OPTION	ˈɑːpʃən
OPTION(1)	ˈɔpʃən
OPTION'S	ˈɑːpʃənz
OPTIONAL	ˈɑːpʃənəl
OPTIONAL(1)	ˈɔpʃənəl
OPTIONED	ˈɑːpʃənd
OPTIONED(1)	ˈɔpʃənd
OPTIONING	ˈɑːpʃənɪŋ
OPTIONING(1)	ˈɔpʃənɪŋ
OPTIONS	ˈɑːpʃənz
OPTIONS(1)	ˈɔpʃənz
OPTIONS'	ˈɑːpʃənz
OPTO	ˈɑːptoʊ
OPTOMETRIC	ˌɑːptoʊmˈɛtrɪk
OPTOMETRIST	ɑːptˈɑːmətrɪst
OPTOMETRISTS	ɑːptˈɑːmətrɪsts
OPTOMETRY	ɑːptˈɑːmətri
OPTS	ˈɑːpts
OPTUS	ˈɑːptəs
OPULENCE	ˈɑːpjələns
OPULENT	ˈɑːpjələnt
OPUS	ˈoʊpəs
OQUENDO	oʊkwˈɛndoʊ
OQUIN	oʊkwˈiːn
OQUINN	oʊkwˈiːn
OR	ˈɔr
OR(1)	ɝ
ORA	ˈɔrə
ORABEL	ɔrɑːbˈɛl
ORABELLE	ˈɔrəbəl
ORACLE	ˈɔrəkəl
ORACLE'S	ˈɔrəkəlz
ORACLES	ˈɔrəkəlz
ORADOUR	ˈɔrədˌɔr
ORAFLEX	ˈɔrəflˌɛks
ORAHOOD	ˈɔrəhˌʊd
ORAL	ˈɔrəl
ORALIA	ɔrˈɑːliːə
ORALIE	ˈɔrəli
ORALLY	ˈɔrəli
ORAM	ˈɔrəm
ORAN	ɔrˈɑːn
ORAND	ˈɔrənd
ORANGE	ˈɔrɪndʒ
ORANGE-GREEN	ˈɔrɪndʒgrˌiːn
ORANGEBURG	ˈɔrɪndʒbɝg
ORANGES	ˈɔrɪndʒɪz
ORANGINA	ɔrændʒˈiːnɝ
ORANGINA(1)	ɔrændʒˈiːnə
ORANGUTAN	ɔrˈæŋətæn
ORANGUTAN(1)	ɔrˈæŋətɑːn
ORANGUTAN'S	ɔrˈæŋətænz
ORANGUTAN'S(1)	ɔrˈæŋətɑːnz
ORANGUTANS	ɔrˈæŋətænz
ORANGUTANS(1)	ɔrˈæŋətɑːnz
ORASURE	ˈɔrˌəʃˌʊr
ORATION	ɔrˈeɪʃən
ORATIONS	ɔrˈeɪʃənz
ORATOR	ˈɔrətɝ
ORATORICAL	ˌɔrətˈɔrəkəl
ORATORIO	ˌɑːrətˈɔriːoʊ
ORATORS	ˈɔrətɝz
ORATORY	ˈɔrətˌɔri
ORAVEC	ɔrˈɑːvɪk
ORAVETZ	ˈɔrəvɪts
ORB	ˈɔrb
ORBACH	ˈɔrbɑːk
ORBAN	ˈɔrbən
ORBANCO	ɔrbˈæŋkoʊ
ORBEN	ˈɔrbən
ORBIN	ˈɔrbɪn
ORBIS	ˈɔrbɪs
ORBIT	ˈɔrbət
ORBITAL	ˈɔrbətəl
ORBITALS	ˈɔrbətəls
ORBITED	ˈɔrbətəd
ORBITER	ˈɔrbətɝ
ORBITERS	ˈɔrbətɝz
ORBITING	ˈɔrbətɪŋ
ORBITS	ˈɔrbəts
ORCA	ˈɔrkə
ORCAS	ˈɔrkəs
ORCHARD	ˈɔrtʃɝd
ORCHARDS	ˈɔrtʃɝdz
ORCHESTRA	ˈɔrkəstrə
ORCHESTRA'S	ˈɔrkəstrəz
ORCHESTRAL	ɔrkˈɛstrəl
ORCHESTRALLY	ɔrkˈɛstrəli
ORCHESTRAS	ˈɔrkəstrəz
ORCHESTRATE	ˈɔrkɪstrˌeɪt
ORCHESTRATED	ˈɔrkɪstrˌeɪtɪd
ORCHESTRATES	ˈɔrkəstrˌeɪts
ORCHESTRATING	ˈɔrkɪstrˌeɪtɪŋ
ORCHESTRATION	ˌɔrkəstrˈeɪʃən
ORCHESTRATIONS	ˌɔrkəstrˈeɪʃənz
ORCHID	ˈɔrkəd
ORCHIDS	ˈɔrkədz
ORCT	ˈɔrkt
ORCUTT	ˈɔrkət
ORD	ˈɔrd
ORDAIN	ɔrdˈeɪn
ORDAINED	ɔrdˈeɪnd
ORDAINING	ɔrdˈeɪnɪŋ
ORDAZ	ˈɔrdɑːz
ORDEAL	ɔrdˈiːl
ORDEALS	ɔrdˈiːlz
ORDELLA	ˌɔrdˈɛlə
ORDER	ˈɔrdɝ
ORDER'S	ˈɔrdɝz
ORDERED	ˈɔrdɝd
ORDERING	ˈɔrdɝɪŋ
ORDERLINESS	ˈɔrdɝliːnəs
ORDERLY	ˈɔrdɝli
ORDERS	ˈɔrdɝz
ORDINANCE	ˈɔrdənəns
ORDINANCES	ˈɔrdənənsɪz
ORDINARIES	ˈɔrdənˌɛriːz
ORDINARILY	ˌɔrdənˈɛrəli
ORDINARY	ˈɔrdənˌɛri
ORDINATION	ˌɔrdənˈeɪʃən
ORDIWAY	ˈɔrdiːweɪ
ORDNANCE	ˈɔrdnəns
ORDNANCE'S	ˈɔrdnənsɪz
ORDONEZ	ɔrdˈoʊnɛz
ORDOYNE	ˈɔrdɔɪn
ORDWAY	ˈɔrdweɪ
ORE	ˈɔr
OREA	ɝˈiːə
OREAR	ɝˈɪr
OREBAUGH	ɔrˈɛbɔ
OREFFICE	ɔrˈɛfɪs
OREFICE	ɔrˈɛfaɪs
OREGAN	ɔrˈɛgən
OREGANO	ˌɔrˈɛgənˌoʊ
OREGANO(1)	ɝˈɛgənˌoʊ
OREGON	ˈɔrəgən
OREGON(1)	ˈɔrəgˌɑːn
OREGON'S	ˈɔrəgənz
OREGON'S(1)	ˈɔrəgˌɑːnz
OREGONIAN	ˌɔrəgˈoʊniːən
OREGONIANS	ˌɔrəgˈoʊniːənz
OREILLY	ˈɔrəli
OREL	ˈɔrəl
ORELA	ɔrˈɛlə
ORELIA	ɔrˈɛliːə
ORELLANA	ɔrɛlˈænə
ORELON	ˈɔrəlɑːn
OREM	ˈɔrɪm
OREN	ˈɔrən
ORENDA	ɔrˈɛndə
ORENDORFF	ˈɔrɪndɔrf
ORENS	ˈɔrənz
ORENSTEIN	ˈɔrənstaɪn
ORENSTEIN(1)	ˈɔrənstiːn
ORENTHAL	ˈɔrənθˌɑːl
OREO	ˈɔriːoʊ
ORES	ˈɔrz
ORESKOVICH	ɔrˈɛskəvɪtʃ
ORESTES	ɔrˈɛstiːz
ORF	ˈɔrf
ORFIELD	ˈɔrfiːld
ORFORD	ˈɔrfɝd
ORG	ˈɔrg
ORGAN	ˈɔrgən
ORGANELLES	ˌɔrgənˈɛlz
ORGANIC	ɔrgˈænɪk
ORGANICALLY	ɔrgˈænɪkli
ORGANICS	ɔrgˈænɪks
ORGANISATION	ˌɔrgənɪzˈeɪʃən
ORGANISATIONS	ˌɔrgənɪzˈeɪʃənz
ORGANISM	ˈɔrgənˌɪzəm
ORGANISM'S	ˈɔrgənˌɪzəmz
ORGANISMIC	ˌɔrgənˈɪzmɪk
ORGANISMS	ˈɔrgənˌɪzəmz
ORGANIST	ˈɔrgənəst
ORGANIZATION	ˌɔrgənəzˈeɪʃən
ORGANIZATION'S	ˌɔrgənɪzˈeɪʃənz
ORGANIZATIONAL	ˌɔrgənəzˈeɪʃənəl
ORGANIZATIONS	ˌɔrgənəzˈeɪʃənz
ORGANIZE	ˈɔrgənˌaɪz
ORGANIZED	ˈɔrgənˌaɪzd
ORGANIZER	ˈɔrgənˌaɪzɝ
ORGANIZERS	ˈɔrgənˌaɪzɝz
ORGANIZES	ˈɔrgənˌaɪzɪz
ORGANIZING	ˈɔrgənˌaɪzɪŋ
